股票代码,股票名称,涨跌幅,最新价,最高,最低,今开,涨跌额,换手率,量比,动态市盈率,成交量,成交额,昨日收盘,总市值,流通市值,行情ID,市场类型,更新时间,最新交易日
BK0556,移动支付,0.53,14382.47,14388.94,14121.43,14201.89,76.21,1.09,1.04,19.76,10654639,15861024740.0,14306.26,3145510272000,1094355616000,90.BK0556,板块,2026-02-06 11:17:45,2026-02-06
BK0699,全息技术,0.53,3205.62,3209.01,3149.64,3171.25,16.83,0.99,0.93,-1893.39,1027593,2613595119.0,3188.79,230864367000,215560275000,90.BK0699,板块,2026-02-06 11:17:45,2026-02-06
BK0705,上证380,0.52,3094.19,3104.53,3041.45,3052.35,15.92,0.98,1.0,29.2,70432753,132545413287.0,3078.27,12267800320000,10937497088000,90.BK0705,板块,2026-02-06 11:17:45,2026-02-06
BK1135,数据要素,0.52,1361.6,1363.01,1332.65,1344.51,6.99,1.71,1.12,91.29,24017721,42479595240.0,1354.61,2244888560000,1942193808000,90.BK1135,板块,2026-02-06 11:17:42,2026-02-06
BK0963,商业航天,0.52,2808.75,2816.84,2756.61,2766.8,14.53,2.34,1.21,72.1,57894208,146257642074.0,2794.22,6180190976000,5402139904000,90.BK0963,板块,2026-02-06 11:17:45,2026-02-06
BK0974,化妆品概念,0.51,1412.37,1415.03,1392.64,1399.23,7.16,1.61,1.44,52.2,5566562,9841314771.0,1405.21,735212912000,642132848000,90.BK0974,板块,2026-02-06 11:17:45,2026-02-06
BK1143,空间计算,0.51,1543.14,1544.31,1510.42,1525.6,7.85,1.95,1.17,-288.88,2221309,3922128434.0,1535.29,162073835000,135564601000,90.BK1143,板块,2026-02-06 11:17:45,2026-02-06
BK0834,乡村振兴,0.51,1778.67,1780.97,1754.35,1760.54,9.04,1.51,1.04,37.58,24326852,20400716142.0,1769.63,1762870128000,1444875200000,90.BK0834,板块,2026-02-06 11:17:45,2026-02-06
BK0841,体外诊断,0.51,1457.79,1459.94,1444.96,1446.69,7.39,1.2,1.27,57.17,4635241,7173378142.0,1450.4,893944464000,843960672000,90.BK0841,板块,2026-02-06 11:17:45,2026-02-06
BK1104,信创,0.5,2116.75,2119.03,2074.54,2090.48,10.46,1.87,1.11,428.47,28517665,64996929173.0,2106.29,4370152448000,3964973520000,90.BK1104,板块,2026-02-06 11:17:45,2026-02-06
BK1182,智谱AI,0.5,1406.38,1408.73,1370.44,1385.34,6.98,3.36,1.02,118.52,8409407,16249897672.0,1399.4,511630176000,454039040000,90.BK1182,板块,2026-02-06 11:17:42,2026-02-06
BK0879,标准普尔,0.5,1868.49,1873.14,1839.34,1846.04,9.29,0.75,1.12,15.5,329301995,480024796245.0,1859.2,67356883456000,56761056512000,90.BK0879,板块,2026-02-06 11:17:45,2026-02-06
BK0721,PPP模式,0.49,865.11,866.47,853.98,856.24,4.24,0.88,0.98,21.64,28768783,21032206077.0,860.87,2413215872000,2140149168000,90.BK0721,板块,2026-02-06 11:17:45,2026-02-06
BK0882,猪肉概念,0.48,1341.02,1345.04,1328.74,1329.4,6.35,0.79,0.72,17.52,4095580,4342253187.0,1334.67,820112128000,706988224000,90.BK0882,板块,2026-02-06 11:17:45,2026-02-06
BK0534,成渝特区,0.48,24028.4,24075.36,23725.88,23782.53,115.97,0.97,0.99,54.59,14959973,21328866106.0,23912.43,2459707168000,2242744736000,90.BK0534,板块,2026-02-06 11:17:45,2026-02-06
BK1125,电子后视镜,0.47,1779.89,1781.3,1750.74,1759.15,8.26,1.24,1.29,158.92,2054974,3143385484.0,1771.63,364973328000,318320048000,90.BK1125,板块,2026-02-06 11:17:42,2026-02-06
BK0818,可燃冰,0.46,1811.91,1823.57,1772.03,1780.52,8.24,1.4,0.95,21.68,4175412,2312863707.0,1803.67,269046016000,188004734000,90.BK0818,板块,2026-02-06 11:17:45,2026-02-06
BK1086,粮食概念,0.46,860.04,863.55,848.44,849.93,3.9,2.11,0.73,32.01,6501289,4903346690.0,856.14,256983662000,221756152000,90.BK1086,板块,2026-02-06 11:17:45,2026-02-06
BK1013,华为欧拉,0.46,1496.84,1498.5,1468.95,1481.03,6.81,1.09,0.96,570.59,738804,2216286131.0,1490.03,234628711000,211049508000,90.BK1013,板块,2026-02-06 11:17:45,2026-02-06
BK0995,华为昇腾,0.46,1759.55,1761.05,1722.77,1736.61,7.97,1.61,1.12,-3542.73,4758170,8772318660.0,1751.58,619831168000,557241440000,90.BK0995,板块,2026-02-06 11:17:45,2026-02-06
BK0952,第三代半导体,0.45,2139.14,2141.61,2096.36,2106.27,9.52,3.18,1.19,152.2,26066562,59255767164.0,2129.62,2653564800000,2393808560000,90.BK0952,板块,2026-02-06 11:17:45,2026-02-06
BK0800,人工智能,0.45,2017.46,2019.53,1978.32,1993.7,8.94,1.49,1.12,60.23,102174076,191674464456.0,2008.52,14381341696000,12956306176000,90.BK0800,板块,2026-02-06 11:17:45,2026-02-06
BK1009,元宇宙概念,0.44,2564.34,2567.55,2503.43,2531.62,11.27,2.5,1.18,32.31,38879246,64355428527.0,2553.07,4681039616000,2474241264000,90.BK1009,板块,2026-02-06 11:17:42,2026-02-06
