股票代码,股票名称,涨跌幅,最新价,最高,最低,今开,涨跌额,换手率,量比,动态市盈率,成交量,成交额,昨日收盘,总市值,流通市值,行情ID,市场类型,更新时间,最新交易日
111017,蓝天转债,0.55,133.762,133.947,132.443,132.89,0.734,1.64,0.56,-,11027,14706645.0,133.028,898257309,898257309,1.111017,沪A,2026-02-06 11:17:43,2026-02-06
123194,百洋转债,0.55,136.19,136.85,135.006,135.627,0.75,1.26,0.74,-,10636,14473290.578,135.44,1152062670,1152062670,0.123194,深A,2026-02-06 11:17:42,2026-02-06
123091,长海转债,0.55,139.164,140.082,137.0,138.27,0.758,2.79,0.5,-,15360,21308714.03,138.406,765031406,765031406,0.123091,深A,2026-02-06 11:17:42,2026-02-06
123197,光力转债,0.54,146.338,147.5,143.213,145.1,0.787,7.33,0.8,-,29278,42567451.118,145.551,584677235,584677235,0.123197,深A,2026-02-06 11:17:42,2026-02-06
118042,奥维转债,0.53,150.941,151.743,145.0,145.0,0.801,21.91,0.77,-,249767,374382157.0,150.14,1720636986,1720636986,1.118042,沪A,2026-02-06 11:17:44,2026-02-06
127080,声迅转债,0.53,166.356,168.128,164.5,165.3,0.876,11.81,0.36,-,32999,54852530.711,165.48,464712658,464712658,0.127080,深A,2026-02-06 11:17:42,2026-02-06
113625,江山转债,0.53,129.683,130.184,128.236,129.201,0.688,1.65,0.76,-,9621,12450212.0,128.995,755450161,755450161,1.113625,沪A,2026-02-06 11:17:43,2026-02-06
111022,锡振转债,0.53,155.1,156.406,153.5,154.13,0.814,2.3,0.91,-,11973,18578185.0,154.286,806153964,806153964,1.111022,沪A,2026-02-06 11:17:44,2026-02-06
113624,正川转债,0.51,140.298,140.89,138.8,139.222,0.718,2.11,0.8,-,8527,11937916.0,139.58,567964184,567964184,1.113624,沪A,2026-02-06 11:17:43,2026-02-06
113054,绿动转债,0.51,125.924,126.002,124.764,125.16,0.634,1.25,1.04,-,29460,37009522.0,125.29,2971631366,2971631366,1.113054,沪A,2026-02-06 11:17:45,2026-02-06
113574,华体转债,0.51,129.117,129.216,127.4,128.421,0.652,12.23,0.84,-,19941,25621076.0,128.465,210440180,210440180,1.113574,沪A,2026-02-06 11:17:44,2026-02-06
123119,康泰转2,0.51,134.285,134.88,132.885,133.62,0.685,1.68,1.03,-,33628,45126440.859,133.6,2684337007,2684337007,0.123119,深A,2026-02-06 11:17:42,2026-02-06
118032,建龙转债,0.5,128.992,129.396,127.712,128.318,0.648,1.17,0.91,-,8219,10583572.0,128.344,902799529,902799529,1.118032,沪A,2026-02-06 11:17:42,2026-02-06
118031,天23转债,0.49,136.462,137.0,134.363,135.9,0.669,4.12,1.12,-,240809,326707026.0,135.793,7984654992,7984654992,1.118031,沪A,2026-02-06 11:17:44,2026-02-06
123246,远信转债,0.48,168.15,168.913,166.31,167.501,0.8,9.93,1.07,-,22806,38263275.44,167.35,386137642,386137642,0.123246,深A,2026-02-06 11:17:42,2026-02-06
113638,台21转债,0.45,128.173,128.71,127.222,127.222,0.572,1.13,0.68,-,6775,8673395.0,127.601,768700905,768700905,1.113638,沪A,2026-02-06 11:17:44,2026-02-06
123213,天源转债,0.45,274.14,275.5,265.635,272.1,1.24,11.83,1.14,-,38554,104364697.984,272.9,893735054,893735054,0.123213,深A,2026-02-06 11:17:42,2026-02-06
123175,百畅转债,0.45,127.279,127.718,126.157,126.711,0.568,1.42,0.52,-,5968,7578136.74,126.711,534407992,534407992,0.123175,深A,2026-02-06 11:17:36,2026-02-06
127056,中特转债,0.45,128.759,129.718,127.604,128.097,0.579,0.51,0.5,-,25718,33114627.71,128.18,6437479000,6437479000,0.127056,深A,2026-02-06 11:17:42,2026-02-06
